2025-04-03 15:01:03.135 [info] Removed views:gitlens.views.scm.grouped from workbench.view.scm
2025-04-03 15:01:03.233 [info] Added views:gitlens.views.drafts in workbench.view.extension.gitlens
2025-04-03 15:01:03.262 [info] Added views:gitlens.views.commitDetails,gitlens.views.lineHistory,gitlens.views.fileHistory,gitlens.views.searchAndCompare in workbench.view.extension.gitlensInspect
2025-04-03 15:01:03.262 [info] Added views:gitlens.views.scm.grouped in workbench.view.scm
2025-04-03 15:01:04.298 [info] Added views:gitlens.views.graph,gitlens.views.graphDetails in workbench.view.extension.gitlensPanel
2025-04-03 15:01:04.299 [info] Added views:gitlens.views.timeline in workbench.view.extension.gitlensInspect
2025-04-03 15:03:10.785 [info] Added views:workbench.panel.comments in workbench.panel.comments
2025-04-03 15:03:15.519 [info] Added views:tabnine.chat in workbench.view.extension.tabnine
2025-04-03 15:14:12.849 [info] Removed views:workbench.scm.history from workbench.view.scm
2025-04-03 15:14:12.854 [info] Removed views:workbench.view.testing from workbench.view.extension.test
